client num,plume_list,elle-cc,plume_list_ra,plume_list_rc,elle-rc,elle-ra
2,0.547,6.287,0.557,0.533,4.43,4.907
5,0.767,4.767,0.767,0.657,5.537,4.977
10,1.063,5.6,1.06,0.797,5.5,6.12
15,1.283,6.313,1.333,0.923,6.537,6.1
20,1.673,6.997,1.577,1.1,6.76,6.737
25,1.953,7.49,1.993,1.28,7.417,7.697
30,2.187,8.21,2.823,1.553,8.277,8.137
40,3.193,13.13,3.227,1.95,12.807,13.057
50,4.12,15.07,4.223,2.477,15.32,15.373
60,5.107,77.197,5.513,3.273,75.917,77.357
70,6.42,67.31,6.143,3.85,65.13,65.25
80,8.547,236.38,8.143,4.567,235.387,234.583
90,9.907,502.117,10.803,5.697,506.957,509.803
100,12.39,888.82,11.713,5.99,876.363,878.937
